epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,463.625,1.44408,0.8886,0.91956,0.99334,1,0.995,0.58145,1.46482,0.80037,0.95556,0.00099314,0.00099314,0.00099314
44,474.404,1.58404,0.8002,0.9142,0.99544,1,0.995,0.60996,1.39876,0.89806,0.94109,0.000999282,0.000999282,0.000999282
45,485.038,1.43894,0.72097,0.95753,0.99544,1,0.995,0.60996,1.39876,0.89806,0.94109,0.00100463,0.00100463,0.00100463
46,495.731,1.58599,0.81335,1.05311,0.98384,1,0.995,0.57847,1.46281,0.79326,0.97027,0.00100919,0.00100919,0.00100919
47,506.193,1.45861,0.72931,0.9416,0.98384,1,0.995,0.57847,1.46281,0.79326,0.97027,0.00101296,0.00101296,0.00101296
48,516.82,1.5981,0.75418,0.94466,0.99605,1,0.995,0.60535,1.33395,0.65953,0.94447,0.00101593,0.00101593,0.00101593
49,527.317,1.44058,0.79243,0.94831,0.99605,1,0.995,0.60535,1.33395,0.65953,0.94447,0.00101811,0.00101811,0.00101811
50,537.945,1.57796,0.73857,0.98584,0.99464,1,0.995,0.59009,1.33879,0.80352,0.93796,0.0010195,0.0010195,0.0010195
51,548.45,1.56717,0.8475,1.017,0.99464,1,0.995,0.59009,1.33879,0.80352,0.93796,0.00101,0.00101,0.00101
52,559.054,1.59304,0.91741,0.89719,0.99437,1,0.995,0.6292,1.29904,0.77765,0.93141,0.0009902,0.0009902,0.0009902
53,569.622,1.50124,0.77373,0.97696,0.99437,1,0.995,0.6292,1.29904,0.77765,0.93141,0.0009704,0.0009704,0.0009704
54,580.337,1.57725,0.76919,1.05936,0.9946,1,0.995,0.56924,1.46185,0.69312,0.97074,0.0009506,0.0009506,0.0009506
55,590.866,1.40107,0.92873,0.96024,0.9946,1,0.995,0.56924,1.46185,0.69312,0.97074,0.0009308,0.0009308,0.0009308
56,601.511,1.72104,0.88641,0.93507,0.99474,1,0.995,0.57339,1.48621,0.68115,0.9754,0.000911,0.000911,0.000911
57,612.08,1.67838,0.93188,1.07056,0.99474,1,0.995,0.57339,1.48621,0.68115,0.9754,0.0008912,0.0008912,0.0008912
58,622.733,1.4845,0.98314,0.92943,0.99431,1,0.995,0.63771,1.32658,0.63964,0.926,0.0008714,0.0008714,0.0008714
59,633.442,1.46827,0.73043,0.95198,0.99431,1,0.995,0.63771,1.32658,0.63964,0.926,0.0008516,0.0008516,0.0008516
60,644.259,1.27997,0.74143,0.90853,0.99367,1,0.995,0.6747,1.23683,0.65221,0.9041,0.0008318,0.0008318,0.0008318
61,654.874,1.46175,0.85242,1.00461,0.99367,1,0.995,0.6747,1.23683,0.65221,0.9041,0.000812,0.000812,0.000812
62,665.612,1.43315,0.77384,0.95716,0.99609,1,0.995,0.70899,1.17744,0.63366,0.90049,0.0007922,0.0007922,0.0007922
63,676.249,1.77145,0.97764,1.10773,0.99609,1,0.995,0.70899,1.17744,0.63366,0.90049,0.0007724,0.0007724,0.0007724
64,686.994,1.75486,0.97779,1.06762,0.9964,1,0.995,0.66565,1.18799,0.5837,0.90794,0.0007526,0.0007526,0.0007526
65,697.527,1.51196,0.7114,0.94719,0.9964,1,0.995,0.66565,1.18799,0.5837,0.90794,0.0007328,0.0007328,0.0007328
66,708.145,1.52057,0.74639,0.95396,0.99232,1,0.995,0.62728,1.27233,0.59657,0.92497,0.000713,0.000713,0.000713
67,718.608,1.44563,0.8307,0.92891,0.99232,1,0.995,0.62728,1.27233,0.59657,0.92497,0.0006932,0.0006932,0.0006932
68,729.143,1.66055,0.82765,1.13252,0.9849,1,0.995,0.64898,1.28112,0.61922,0.91917,0.0006734,0.0006734,0.0006734
